club,name,age,position,club_involved,fee,transfer_movement,fee_cleaned,league,year
Rio Ave FC,AdrianoAdriano,21,Right-Back,Coritiba FC,Free Transfer,in,0,primeira-liga,2009
Rio Ave FC,MagnoMagno,24,Right-Back,Anápolis-GO,Free Transfer,in,0,primeira-liga,2009
Rio Ave FC,Bruno GamaB. Gama,21,Right Winger,FC Porto,Free Transfer,in,0,primeira-liga,2009
Rio Ave FC,CarlosCarlos,29,Goalkeeper,Foolad,?,in,NA,primeira-liga,2009
Rio Ave FC,WesllemWesllem,24,Left Winger,Leça,?,in,NA,primeira-liga,2009
Rio Ave FC,Zé GomesZé Gomes,33,Right-Back,Marítimo,?,in,NA,primeira-liga,2009
Rio Ave FC,Bruno MoraesB. Moraes,25,Centre-Forward,FC Porto,Loan,in,0,primeira-liga,2009
Rio Ave FC,Pedro TrigueiraP. Trigueira,21,Goalkeeper,Boavista,?,in,NA,primeira-liga,2009
Rio Ave FC,JefersonJeferson,23,Centre-Back,Rio Preto EC,?,in,NA,primeira-liga,2009
Rio Ave FC,Kuki MartinsKuki Martins,19,Central Midfield,Rio Ave FC U19,-,in,0,primeira-liga,2009
Rio Ave FC,Bruno FogaçaB. Fogaça,27,Centre-Forward,Without Club,-,in,0,primeira-liga,2009
Rio Ave FC,ValdirValdir,25,Left-Back,Without Club,-,in,0,primeira-liga,2009
Rio Ave FC,André SerrãoA. Serrão,23,Central Midfield,GD Ribeirão,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Rio Ave FC,Tiago TerrosoT. Terroso,21,Defensive Midfield,FC Pampilhosa,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Rio Ave FC,Miguel LopesM. Lopes,22,Right-Back,FC Porto,£540k,out,0.54,primeira-liga,2009
Rio Ave FC,DelsonDelson,28,Defensive Midfield,AE Larisa,Free Transfer,out,0,primeira-liga,2009
Rio Ave FC,Daniel HenzDaniel Henz,24,Defender,Jagiellonia,Free Transfer,out,0,primeira-liga,2009
Rio Ave FC,RonaldoRonaldo,28,Forward,Oliveirense,Free Transfer,out,0,primeira-liga,2009
Rio Ave FC,Márcio PaivaM. Paiva,28,Goalkeeper,Doxa Katokopias,Free Transfer,out,0,primeira-liga,2009
Rio Ave FC,Jorge HumbertoJorge Humberto,29,Centre-Back,Oliveirense,Free Transfer,out,0,primeira-liga,2009
Rio Ave FC,Kuki MartinsKuki Martins,19,Central Midfield,Gondomar,Loan,out,0,primeira-liga,2009
Rio Ave FC,CésarCésar,33,Goalkeeper,GD Ribeirão,?,out,NA,primeira-liga,2009
Rio Ave FC,João TomásJ. Tomás,34,Centre-Forward,Shabab,?,out,NA,primeira-liga,2009
Rio Ave FC,André SerrãoA. Serrão,23,Central Midfield,Vizela,Loan,out,0,primeira-liga,2009
Rio Ave FC,Pedro MoutinhoP. Moutinho,29,Centre-Forward,Marítimo,"End of loanJul 1, 2009",out,0,primeira-liga,2009
Rio Ave FC,Rogério MatiasR. Matias,34,Left-Back,Retired,-,out,0,primeira-liga,2009
Rio Ave FC,Bruno NovoBruno Novo,29,Right-Back,Retired,-,out,0,primeira-liga,2009
Rio Ave FC,LivramentoLivramento,27,Attacking Midfield,Without Club,-,out,0,primeira-liga,2009
Rio Ave FC,NiquinhaNiquinha,37,Central Midfield,Retired,-,out,0,primeira-liga,2009
Rio Ave FC,HenriqueHenrique,22,Centre-Forward,Without Club,-,out,0,primeira-liga,2009
Rio Ave FC,Daniel CandeiasD. Candeias,21,Right Winger,FC Porto,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Rio Ave FC,Edson HenriqueEdson Henrique,21,Centre-Back,FC Porto,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Rio Ave FC,Fábio CoentrãoF. Coentrão,21,Left-Back,Benfica,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Rio Ave FC,YazaldeYazalde,20,Centre-Forward,Braga,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Naval 1º de Maio,GiulianoGiuliano,29,Attacking Midfield,Campinense,Free Transfer,in,0,primeira-liga,2009
Naval 1º de Maio,Aboubacar TandiaA. Tandia,25,Centre-Forward,Villemomble Sports,Free Transfer,in,0,primeira-liga,2009
Naval 1º de Maio,Omar BellagraO. Bellagra,23,Centre-Forward,Blois,Free Transfer,in,0,primeira-liga,2009
Naval 1º de Maio,Fábio JúniorFábio Júnior,27,Centre-Forward,Campinense,Free Transfer,in,0,primeira-liga,2009
Naval 1º de Maio,Kévin GomisK. Gomis,20,Centre-Back,EA Guingamp B,Free Transfer,in,0,primeira-liga,2009
Naval 1º de Maio,Bourama OuattaraB. Ouattara,24,Left Winger,Olymp. Volos,Free Transfer,in,0,primeira-liga,2009
Naval 1º de Maio,Mehdi KerroucheM. Kerrouche,23,Centre-Forward,GFCO Ajaccio,Free Transfer,in,0,primeira-liga,2009
Naval 1º de Maio,William-Moses NKakeW. NKake,23,Defensive Midfield,Villemomble Sports,?,in,NA,primeira-liga,2009
Naval 1º de Maio,Ulrick LupèdeU. Lupède,25,Centre-Back,RC La Flèche,?,in,NA,primeira-liga,2009
Naval 1º de Maio,Mohamed BellahssanM. Bellahssan,22,Centre-Forward,Without Club,-,in,0,primeira-liga,2009
Naval 1º de Maio,João MendesJoão Mendes,22,Defensive Midfield,SL Nelas,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Naval 1º de Maio,MarcelinhoMarcelinho,24,Centre-Forward,Sharjah FC,£630k,out,0.63,primeira-liga,2009
Naval 1º de Maio,Igor RochaIgor Rocha,25,Left-Back,Trofense,Free Transfer,out,0,primeira-liga,2009
Naval 1º de Maio,Tiago FreitasTiago Freitas,28,Forward,Porto Alegre,Free Transfer,out,0,primeira-liga,2009
Naval 1º de Maio,PaulãoPaulão,26,Centre-Back,Braga,Free Transfer,out,0,primeira-liga,2009
Naval 1º de Maio,João RibeiroJ. Ribeiro,21,Left Winger,Frenaros,Free Transfer,out,0,primeira-liga,2009
Naval 1º de Maio,Emanuel VieiraE. Vieira,19,Goalkeeper,Unknown,Free Transfer,out,0,primeira-liga,2009
Naval 1º de Maio,Tiago RannowTiago Rannow,27,Right-Back,Noroeste,Free Transfer,out,0,primeira-liga,2009
Naval 1º de Maio,Mohamed BellahssanM. Bellahssan,22,Centre-Forward,Covilhã,Loan,out,0,primeira-liga,2009
Naval 1º de Maio,João MendesJoão Mendes,22,Defensive Midfield,Covilhã,?,out,NA,primeira-liga,2009
Naval 1º de Maio,William-Moses NKakeW. NKake,24,Defensive Midfield,Covilhã,Loan,out,0,primeira-liga,2009
Naval 1º de Maio,GilmarGilmar,35,Defensive Midfield,Retired,-,out,0,primeira-liga,2009
Naval 1º de Maio,Fabricio LopesFabricio Lopes,25,Centre-Back,Shatin SA,-,out,0,primeira-liga,2009
Naval 1º de Maio,DuduDudu,27,Attacking Midfield,Without Club,-,out,0,primeira-liga,2009
Vitória Setúbal FC,Przemyslaw KazmierczakP. Kazmierczak,27,Defensive Midfield,FC Porto,£540k,in,0.54,primeira-liga,2009
Vitória Setúbal FC,HenriqueHenrique,22,Centre-Forward,Corinthians,Free transfer,in,NA,primeira-liga,2009
Vitória Setúbal FC,Rúben LimaR. Lima,19,Left-Back,Benfica,Loan,in,0,primeira-liga,2009
Vitória Setúbal FC,El Hadji DioufE. Diouf,21,Attacking Midfield,AEK Athens,Free Transfer,in,0,primeira-liga,2009
Vitória Setúbal FC,Mário FelgueirasM. Felgueiras,22,Goalkeeper,Braga,Loan,in,0,primeira-liga,2009
Vitória Setúbal FC,Ricardo SilvaR. Silva,34,Centre-Back,Shinnik,Free Transfer,in,0,primeira-liga,2009
Vitória Setúbal FC,NecaNeca,30,Attacking Midfield,Ankaraspor,Free Transfer,in,0,primeira-liga,2009
Vitória Setúbal FC,Adul BaldéA. Baldé,20,Centre-Forward,Estrela Amadora,Free Transfer,in,0,primeira-liga,2009
Vitória Setúbal FC,Kheireddine ZarabiK. Zarabi,25,Centre-Back,Belenenses,Free Transfer,in,0,primeira-liga,2009
Vitória Setúbal FC,FrançoisFrançois,19,Centre-Back,Boavista,Free Transfer,in,0,primeira-liga,2009
Vitória Setúbal FC,Rui FonteRui Fonte,19,Centre-Forward,Sporting CP,Loan,in,0,primeira-liga,2009
Vitória Setúbal FC,Ivo PintoIvo Pinto,19,Right-Back,FC Porto,Loan,in,0,primeira-liga,2009
Vitória Setúbal FC,Nuno SantosNuno Santos,31,Goalkeeper,Vit. Guimarães,Free Transfer,in,0,primeira-liga,2009
Vitória Setúbal FC,Hélder BarbosaH. Barbosa,22,Left Winger,FC Porto,Loan,in,0,primeira-liga,2009
Vitória Setúbal FC,Aurélien CollinA. Collin,23,Centre-Back,Wrexham,Free Transfer,in,0,primeira-liga,2009
Vitória Setúbal FC,AlanAlan,26,Right-Back,Arapongas,Free Transfer,in,0,primeira-liga,2009
Vitória Setúbal FC,André PintoA. Pinto,19,Centre-Back,FC Porto,Loan,in,0,primeira-liga,2009
Vitória Setúbal FC,PimentaPimenta,23,Left Winger,Covilhã,Free Transfer,in,0,primeira-liga,2009
Vitória Setúbal FC,MatosMatos,30,Goalkeeper,Varzim,?,in,NA,primeira-liga,2009
Vitória Setúbal FC,Luís CarlosLuís Carlos,26,Second Striker,Estoril,?,in,NA,primeira-liga,2009
Vitória Setúbal FC,Álvaro FernándezÁ. Fernández,23,Central Midfield,Nacional,?,in,NA,primeira-liga,2009
Vitória Setúbal FC,Vasco VarãoV. Varão,27,Central Midfield,Fátima,?,in,NA,primeira-liga,2009
Vitória Setúbal FC,Bruno MonteiroB. Monteiro,24,Central Midfield,Boavista,?,in,NA,primeira-liga,2009
Vitória Setúbal FC,Miguel RosaM. Rosa,30,Goalkeeper,Ayamonte CF,?,in,NA,primeira-liga,2009
Vitória Setúbal FC,LourençoLourenço,29,Defensive Midfield,Beira-Mar,?,in,NA,primeira-liga,2009
Vitória Setúbal FC,Mamadou DjikinéM. Djikiné,22,Defensive Midfield,Covilhã,?,in,NA,primeira-liga,2009
Vitória Setúbal FC,Ladji KeitaL. Keita,26,Centre-Forward,Geroskipou,?,in,NA,primeira-liga,2009
Vitória Setúbal FC,GuilhermeGuilherme,22,Centre-Forward,Brasa,Loan,in,0,primeira-liga,2009
Vitória Setúbal FC,Ney SantosN. Santos,28,Defensive Midfield,Braga,Loan,in,0,primeira-liga,2009
Vitória Setúbal FC,Bruno RibeiroBruno Ribeiro,34,Left Midfield,Chaves,"End of loanNov 1, 2009",in,0,primeira-liga,2009
Vitória Setúbal FC,JoãozinhoJoãozinho,19,Right Winger,Setúbal U19,-,in,0,primeira-liga,2009
Vitória Setúbal FC,Bruno LourençoBruno Lourenço,19,Centre-Back,Setúbal U19,-,in,0,primeira-liga,2009
Vitória Setúbal FC,MoisésMoisés,19,Centre-Forward,Sertanense,"End of loanDec 1, 2009",in,0,primeira-liga,2009
Vitória Setúbal FC,Ricardo DâmasoRicardo Dâmaso,18,Defensive Midfield,Setúbal U19,-,in,0,primeira-liga,2009
Vitória Setúbal FC,Bruno SeverinoB. Severino,23,Right Winger,Beira-Mar,"End of loanDec 1, 2009",in,0,primeira-liga,2009
Vitória Setúbal FC,Bruno SeverinoB. Severino,23,Right Winger,Gondomar,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Vitória Setúbal FC,PortelaPortela,21,Right-Back,Pinhalnovense,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Vitória Setúbal FC,Álvaro FernándezÁ. Fernández,24,Central Midfield,U. de Chile,Loan fee:£95k,out,0.095,primeira-liga,2009
Vitória Setúbal FC,HugoHugo,32,Centre-Back,Beira-Mar,Free Transfer,out,0,primeira-liga,2009
Vitória Setúbal FC,AlanAlan,26,Right-Back,Carregado,Free Transfer,out,0,primeira-liga,2009
Vitória Setúbal FC,Leandro CarrijóL. Carrijó,23,Centre-Forward,South China,Free Transfer,out,0,primeira-liga,2009
Vitória Setúbal FC,Ricardo ChavesR. Chaves,31,Defensive Midfield,Rio Ave FC,Free Transfer,out,0,primeira-liga,2009
Vitória Setúbal FC,Nikola MilojevicN. Milojevic,28,Goalkeeper,Unknown,Free Transfer,out,0,primeira-liga,2009
Vitória Setúbal FC,Leandro BrancoL. Branco,26,Right Winger,Criciúma EC,Free Transfer,out,0,primeira-liga,2009
Vitória Setúbal FC,El Hadji DioufE. Diouf,21,Attacking Midfield,Haladás,Free Transfer,out,0,primeira-liga,2009
Vitória Setúbal FC,Anderson do ÓAnderson do Ó,28,Centre-Back,AE Pafos,Free Transfer,out,0,primeira-liga,2009
Vitória Setúbal FC,Miguel RosaM. Rosa,30,Goalkeeper,Pinhalnovense,Free Transfer,out,0,primeira-liga,2009
Vitória Setúbal FC,Janicio MartinsJanicio Martins,29,Right-Back,Anorthosis,Free Transfer,out,0,primeira-liga,2009
Vitória Setúbal FC,EliasElias,27,Defensive Midfield,Leiria,Free Transfer,out,0,primeira-liga,2009
Vitória Setúbal FC,Pedro AlvesPedro Alves,30,Goalkeeper,Pinhalnovense,Free Transfer,out,0,primeira-liga,2009
Vitória Setúbal FC,Bruno LourençoBruno Lourenço,19,Centre-Back,Aljustrelense,Loan,out,0,primeira-liga,2009
Vitória Setúbal FC,AuriAuri,35,Centre-Back,Covilhã,Free Transfer,out,0,primeira-liga,2009
Vitória Setúbal FC,Vasco VarãoV. Varão,28,Central Midfield,Carregado,Free Transfer,out,0,primeira-liga,2009
Vitória Setúbal FC,MichelMichel,24,Right-Back,Itumbiara,Free Transfer,out,0,primeira-liga,2009
Vitória Setúbal FC,Ricardo DâmasoRicardo Dâmaso,19,Defensive Midfield,Aljustrelense,Loan,out,0,primeira-liga,2009
Vitória Setúbal FC,RobsonRobson,25,Centre-Back,Marítimo,Free Transfer,out,0,primeira-liga,2009
Vitória Setúbal FC,PimentaPimenta,24,Left Winger,Covilhã,Loan,out,0,primeira-liga,2009
Vitória Setúbal FC,JoeanoJoeano,29,Centre-Forward,Ermis Aradippou,Free Transfer,out,0,primeira-liga,2009
Vitória Setúbal FC,Adul BaldéA. Baldé,20,Centre-Forward,Covilhã,Loan,out,0,primeira-liga,2009
Vitória Setúbal FC,MoisésMoisés,18,Centre-Forward,Sertanense,Loan,out,0,primeira-liga,2009
Vitória Setúbal FC,MoisésMoisés,19,Centre-Forward,Aljustrelense,Loan,out,0,primeira-liga,2009
Vitória Setúbal FC,Bruno RibeiroBruno Ribeiro,33,Left Midfield,Chaves,Loan,out,0,primeira-liga,2009
Vitória Setúbal FC,André MorettoAndré Moretto,22,Goalkeeper,Sertanense,Loan,out,0,primeira-liga,2009
Vitória Setúbal FC,JoãozinhoJoãozinho,20,Right Winger,Covilhã,Loan,out,0,primeira-liga,2009
Vitória Setúbal FC,Bruno SeverinoB. Severino,23,Right Winger,Desportivo Aves,Loan,out,0,primeira-liga,2009
Vitória Setúbal FC,PortelaPortela,21,Right-Back,Cerro Reyes,?,out,NA,primeira-liga,2009
Vitória Setúbal FC,Bruno SeverinoB. Severino,23,Right Winger,Beira-Mar,Loan,out,0,primeira-liga,2009
Vitória Setúbal FC,GuilhermeGuilherme,23,Centre-Forward,Brasa,"End of loanDec 1, 2009",out,0,primeira-liga,2009
Vitória Setúbal FC,Pawel KieszekP. Kieszek,25,Goalkeeper,Braga,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Vitória Setúbal FC,Mateus BorgesMateus Borges,26,Attacking Midfield,Anápolis-GO,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Vitória Setúbal FC,Leandro LimaLeandro Lima,23,Attacking Midfield,FC Porto,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Vitória Setúbal FC,André MarquesA. Marques,21,Left-Back,Sporting CP,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Vitória Setúbal FC,Danilo PortugalDanilo Portugal,26,Defensive Midfield,Goiás EC,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Vitória Setúbal FC,Bruno GamaB. Gama,21,Right Winger,FC Porto,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Vitória Setúbal FC,Bruno MoraesB. Moraes,24,Centre-Forward,FC Porto,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Vitória Setúbal FC,LaionelLaionel,23,Right Winger,Anápolis-GO,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Vitória Setúbal FC,Bruno ValeB. Vale,26,Goalkeeper,FC Porto,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Os Belenenses SAD,Daniel MustafáD. Mustafá,25,Centre-Back,SD Huesca,Free Transfer,in,0,primeira-liga,2009
Os Belenenses SAD,Tiago GomesT. Gomes,23,Left-Back,CA Osasuna,Free Transfer,in,0,primeira-liga,2009
Os Belenenses SAD,FajardoFajardo,31,Attacking Midfield,Panthrakikos,Loan,in,0,primeira-liga,2009
Os Belenenses SAD,Freddy AduF. Adu,20,Attacking Midfield,Benfica,Loan,in,0,primeira-liga,2009
Os Belenenses SAD,MiguelitoMiguelito,28,Left-Back,Marítimo,Loan,in,0,primeira-liga,2009
Os Belenenses SAD,Bruno ValeB. Vale,26,Goalkeeper,FC Porto,Loan,in,0,primeira-liga,2009
Os Belenenses SAD,NélsonNélson,33,Goalkeeper,Estrela Amadora,Free Transfer,in,0,primeira-liga,2009
Os Belenenses SAD,Marcos AntónioMarcos António,26,Centre-Back,AJ Auxerre,Free Transfer,in,0,primeira-liga,2009
Os Belenenses SAD,BetoBeto,33,Centre-Back,Recr. Huelva,Free Transfer,in,0,primeira-liga,2009
Os Belenenses SAD,CelestinoCelestino,22,Defensive Midfield,Sporting CP,Free Transfer,in,0,primeira-liga,2009
Os Belenenses SAD,Fellipe BastosF. Bastos,19,Central Midfield,Benfica,Loan,in,0,primeira-liga,2009
Os Belenenses SAD,BargeBarge,25,Right-Back,Estoril,?,in,NA,primeira-liga,2009
Os Belenenses SAD,Igor SiqueiraIgor Siqueira,21,Centre-Forward,Sevilla Atl.,Loan,in,0,primeira-liga,2009
Os Belenenses SAD,Ivan SantosIvan Santos,27,Right Winger,Estoril,?,in,NA,primeira-liga,2009
Os Belenenses SAD,LimaLima,26,Centre-Forward,Astral,Loan,in,0,primeira-liga,2009
Os Belenenses SAD,Jean-Paul YontchaJ. Yontcha,26,Centre-Forward,CS Otopeni,?,in,NA,primeira-liga,2009
Os Belenenses SAD,Vukasin DevicV. Devic,25,Centre-Back,Without Club,-,in,0,primeira-liga,2009
Os Belenenses SAD,Azeez BalogunA. Balogun,18,Defender,Belenenses U19,-,in,0,primeira-liga,2009
Os Belenenses SAD,Tiago AlmeidaT. Almeida,18,Right-Back,Belenenses U19,-,in,0,primeira-liga,2009
Os Belenenses SAD,Diego Roque NavarroD. Navarro,20,Left-Back,Covilhã,"End of loanOct 1, 2009",in,0,primeira-liga,2009
Os Belenenses SAD,Fábio MarquesFábio Marques,18,Centre-Back,Belenenses U19,-,in,0,primeira-liga,2009
Os Belenenses SAD,DaniDani,19,Centre-Forward,Belenenses U19,-,in,0,primeira-liga,2009
Os Belenenses SAD,Thiago SchmidtThiago Schmidt,25,Goalkeeper,Feirense,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Os Belenenses SAD,João PauloJoão Paulo,24,Centre-Forward,Olhanense,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Os Belenenses SAD,RomárioRomário,19,Centre-Forward,Chaves,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Os Belenenses SAD,Carlos AlvesC. Alves,21,Left-Back,Oriental,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Os Belenenses SAD,Júlio CésarJúlio César,22,Goalkeeper,Benfica,£450k,out,0.45,primeira-liga,2009
Os Belenenses SAD,BaianoBaiano,22,Right-Back,Paços Ferreira,Free Transfer,out,0,primeira-liga,2009
Os Belenenses SAD,Evandro RoncattoE. Roncatto,23,Right Winger,Paços Ferreira,Free Transfer,out,0,primeira-liga,2009
Os Belenenses SAD,SauloSaulo,27,Right Winger,Celta de Vigo,Free Transfer,out,0,primeira-liga,2009
Os Belenenses SAD,SilasSilas,32,Attacking Midfield,Leiria,Free Transfer,out,0,primeira-liga,2009
Os Belenenses SAD,Carlos AlvesC. Alves,21,Left-Back,Oriental,Free Transfer,out,0,primeira-liga,2009
Os Belenenses SAD,TininhoTininho,28,Left-Back,Steaua Bukarest,Free Transfer,out,0,primeira-liga,2009
Os Belenenses SAD,Ivan SantosIvan Santos,27,Right Winger,Volgar-Gazprom,Free Transfer,out,0,primeira-liga,2009
Os Belenenses SAD,Kheireddine ZarabiK. Zarabi,25,Centre-Back,Vitória Setúbal,Free Transfer,out,0,primeira-liga,2009
Os Belenenses SAD,ÁvalosÁvalos,31,Centre-Back,Nea Salamis,Free Transfer,out,0,primeira-liga,2009
Os Belenenses SAD,Sérgio OrganistaSérgio Organista,24,Defensive Midfield,OFI Crete,Free Transfer,out,0,primeira-liga,2009
Os Belenenses SAD,CarcianoCarciano,28,Centre-Back,Villa Nova AC,Free Transfer,out,0,primeira-liga,2009
Os Belenenses SAD,Mourtala DiakitéM. Diakité,29,Centre-Back,Marítimo,Loan,out,0,primeira-liga,2009
Os Belenenses SAD,ZazáZazá,19,Right-Back,Estrela Amadora,Loan,out,0,primeira-liga,2009
Os Belenenses SAD,Abel CamaráA. Camará,19,Centre-Forward,Estrela Amadora,Loan,out,0,primeira-liga,2009
Os Belenenses SAD,João PauloJoão Paulo,24,Centre-Forward,Veranopolis,Loan,out,0,primeira-liga,2009
Os Belenenses SAD,MaykonMaykon,25,Left-Back,Paços Ferreira,?,out,NA,primeira-liga,2009
Os Belenenses SAD,Álex von SchwedlerÁ. von Schwedler,29,Centre-Back,Without Club,-,out,0,primeira-liga,2009
Os Belenenses SAD,Freddy AduF. Adu,20,Attacking Midfield,Benfica,"End of loanDec 31, 2009",out,0,primeira-liga,2009
Os Belenenses SAD,CostinhaCostinha,35,Goalkeeper,Retired,-,out,0,primeira-liga,2009
Os Belenenses SAD,Thiago SchmidtThiago Schmidt,25,Goalkeeper,Without Club,-,out,0,primeira-liga,2009
Os Belenenses SAD,Fellipe BastosF. Bastos,19,Central Midfield,Benfica,"End of loanNov 1, 2009",out,0,primeira-liga,2009
Os Belenenses SAD,Richard PortaR. Porta,25,Centre-Forward,AC Siena,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Os Belenenses SAD,WenderWender,34,Left Winger,Braga,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Os Belenenses SAD,Vinícius PachecoV. Pacheco,23,Attacking Midfield,Flamengo,"End of loanJun 30, 2009",out,0,primeira-liga,2009
SC Olhanense,Greg NwokoloG. Nwokolo,23,Left Winger,Persija Jakarta,Free Transfer,in,0,primeira-liga,2009
SC Olhanense,Paulo SérgioPaulo Sérgio,25,Right Winger,UD Salamanca,Free Transfer,in,0,primeira-liga,2009
SC Olhanense,YazaldeYazalde,21,Centre-Forward,Braga,Loan,in,0,primeira-liga,2009
SC Olhanense,RabiolaRabiola,19,Centre-Forward,FC Porto,Loan,in,0,primeira-liga,2009
SC Olhanense,ZequinhaZequinha,22,Left Winger,FC Porto,Free Transfer,in,0,primeira-liga,2009
SC Olhanense,DelsonDelson,29,Defensive Midfield,AE Larisa,Loan,in,0,primeira-liga,2009
SC Olhanense,Ricardo FerreiraR. Ferreira,19,Goalkeeper,Braga,Free Transfer,in,0,primeira-liga,2009
SC Olhanense,Hugo VenturaH. Ventura,21,Goalkeeper,FC Porto,Loan,in,0,primeira-liga,2009
SC Olhanense,Stéphane DasseS. Dasse,19,Left-Back,FC Porto,Free Transfer,in,0,primeira-liga,2009
SC Olhanense,LionnLionn,20,Right-Back,Vit. Guimarães,Loan,in,0,primeira-liga,2009
SC Olhanense,Miguel ÂngeloMiguel Ângelo,25,Centre-Back,Marítimo,Loan,in,0,primeira-liga,2009
SC Olhanense,Sandro SilvaSandro Silva,26,Centre-Back,Leixões,?,in,NA,primeira-liga,2009
SC Olhanense,Carlos FernandesC. Fernandes,31,Left-Back,Marítimo,?,in,NA,primeira-liga,2009
SC Olhanense,TengarrinhaTengarrinha,20,Defensive Midfield,FC Porto,Loan,in,0,primeira-liga,2009
SC Olhanense,Éder BaianoÉder Baiano,25,Centre-Back,Rio Preto EC,Loan,in,0,primeira-liga,2009
SC Olhanense,Marcel GomisM. Gomis,21,Centre-Forward,Without Club,-,in,0,primeira-liga,2009
SC Olhanense,Miguel GarciaM. Garcia,26,Right-Back,Without Club,-,in,0,primeira-liga,2009
SC Olhanense,Juan PietravalloJ. Pietravallo,27,Defensive Midfield,Without Club,-,in,0,primeira-liga,2009
SC Olhanense,Rodrigo LamardoRodrigo Lamardo,21,Attacking Midfield,Fátima,"End of loanJun 30, 2009",in,0,primeira-liga,2009
